Average Returns,Iteration
-500.0,0
-500.0,5
-500.0,10
-500.0,15
-500.0,20
-500.0,25
-500.0,30
-219.0,35
-182.0,40
-383.0,45
-145.0,50
-155.0,55
-158.0,60
-155.0,65
-157.0,70
-159.0,75
-159.0,80
-159.0,85
-156.0,90
-155.0,95
-157.0,100
-161.0,105
-160.0,110
-158.0,115
-160.0,120
-158.0,125
-159.0,130
-160.0,135
-158.0,140
-156.0,145
