Iteration,Average Returns
0,-1091.1176999012564
5,-1180.7863114898876
10,-1141.5063650515415
15,-1201.2513659392976
20,-1506.1252708854845
25,-1384.8062690493862
30,-1318.590083453156
35,-1170.4362246249486
40,-1689.5827396786221
45,-1420.1655544905461
50,-1377.9625997021608
55,-1540.000308566995
60,-1202.5585347821034
65,-1556.039420260499
70,-1368.3254154757585
75,-1256.677011759651
80,-1634.7112089417624
85,-1154.7176873918497
90,-1196.71488916329
95,-1321.7469794513809
100,-1120.1734136236232
105,-1375.7980568709509
110,-2005.5369340503607
115,-1401.804645451472
120,-1385.9517910339468
125,-1663.704420924076
130,-1415.754459101002
135,-1289.039305423932
140,-1359.1783532253212
145,-1771.101177325948
