Iteration,Average Returns
0,-500.0
5,-500.0
10,-500.0
15,-500.0
20,-500.0
25,-500.0
30,-500.0
35,-500.0
40,-479.0
45,-500.0
50,-500.0
55,-488.0
60,-406.0
65,-500.0
70,-347.0
75,-500.0
80,-235.0
85,-454.0
90,-338.0
95,-230.0
100,-244.0
105,-247.0
110,-330.0
115,-500.0
120,-331.0
125,-435.0
130,-243.0
135,-500.0
140,-500.0
145,-297.0
