Iteration,Average Returns
0,-1103.6889878086697
5,-1387.967160824132
10,-1269.6631239256722
15,-928.1742409623965
20,-1516.9656327875998
25,-1920.0788697190565
30,-1474.4150297676974
35,-1567.0183974340164
40,-1179.5111917805923
45,-2052.01920723403
50,-1946.875198459042
55,-1764.9588062855073
60,-1168.7144363705902
65,-1715.217497511894
70,-1056.587665571562
75,-1388.4183416376475
80,-1215.6517029156917
85,-1424.1506194418118
90,-1714.6157705430887
95,-1272.4759571951477
100,-1322.7320994979564
105,-1445.770917972657
110,-1548.4556351696237
115,-1992.9883191974266
120,-1322.7500093666672
125,-1316.2113657550171
130,-1633.4557123862278
135,-1269.5922694166065
140,-1459.3986868556872
145,-1876.1935015164188
