Iteration,Average Returns
0,-1086.2625732421875
5,-667.3781127929688
10,-582.4210205078125
15,-152.03956604003906
20,-188.91566467285156
25,-150.61669921875
30,-187.5469970703125
35,-156.9453887939453
40,-118.57781982421875
45,-125.5295181274414
50,-191.20729064941406
55,-166.3928680419922
60,-151.92962646484375
65,-282.4549865722656
70,-229.7298583984375
75,-186.05654907226562
80,-132.61505126953125
85,-142.8636932373047
90,-127.26750183105469
95,-201.56878662109375
100,-99.07464599609375
105,-145.99449157714844
110,-139.8008270263672
115,-128.12110900878906
120,-151.9546356201172
125,-166.6468505859375
130,-131.86769104003906
135,-134.63265991210938
140,-176.2548370361328
145,-146.56092834472656
