Average Returns,Iteration
-1086.2625732421875,0
-876.5992431640625,5
-674.65869140625,10
-411.1390075683594,15
-244.18612670898438,20
-216.97994995117188,25
-102.845458984375,30
-101.02606201171875,35
-98.16658782958984,40
-100.6346435546875,45
-100.2297592163086,50
-94.44264221191406,55
-97.30579376220703,60
-99.32372283935547,65
-96.74574279785156,70
-97.30353546142578,75
-80.9747543334961,80
-97.4121322631836,85
-95.64569091796875,90
-90.41857147216797,95
-98.65238952636719,100
-95.18770599365234,105
-96.4671859741211,110
-94.9549789428711,115
-84.38162231445312,120
-96.165771484375,125
-95.81766510009766,130
-99.64144897460938,135
-100.42970275878906,140
-96.52493286132812,145
