Average Returns,Iteration
-500.0,0
-500.0,5
-500.0,10
-405.0,15
-158.0,20
-335.0,25
-275.0,30
-498.0,35
-415.0,40
-185.0,45
-141.0,50
-135.0,55
-143.0,60
-143.0,65
-141.0,70
-151.0,75
-145.0,80
-146.0,85
-147.0,90
-148.0,95
-147.0,100
-150.0,105
-148.0,110
-148.0,115
-145.0,120
-152.0,125
-146.0,130
-150.0,135
-154.0,140
-147.0,145
