Iteration,Average Returns
0,0.05
1,0.0
2,0.05
3,0.05
4,0.05
5,0.15
6,0.15
7,0.05
8,0.2
9,0.15
10,0.15
11,0.3
12,0.45
13,0.35
14,0.5
15,0.5
16,0.6
17,0.4
18,0.5
19,0.7
20,0.6
21,0.55
22,0.75
23,0.85
24,0.8
25,0.75
26,0.8
27,0.9
28,0.9
29,0.8
30,1.0
31,0.9
32,1.0
33,1.0
34,0.95
35,1.0
36,0.95
37,1.0
38,1.0
39,0.9
40,1.0
41,1.0
42,0.95
43,0.95
44,0.9
45,1.0
46,0.95
47,0.95
48,1.0
49,1.0
