Iteration,Average Returns
0,6.0
5,192.0
10,394.0
15,182.0
20,416.0
25,372.0
30,500.0
35,500.0
40,500.0
45,277.0
50,500.0
55,487.0
60,19.0
65,436.0
70,500.0
75,500.0
80,500.0
85,431.0
90,409.0
95,500.0
100,500.0
105,500.0
110,500.0
115,140.0
120,500.0
125,500.0
130,225.0
135,310.0
140,188.0
145,500.0
