Average Returns,Iteration
-1086.2625732421875,0
-1155.68798828125,5
-1116.760986328125,10
-650.1017456054688,15
-293.7366943359375,20
-147.1886749267578,25
-83.96598815917969,30
-80.53772735595703,35
-88.7300796508789,40
-70.62862396240234,45
-85.05252838134766,50
-71.1199722290039,55
-84.02068328857422,60
-84.40109252929688,65
-84.65753936767578,70
-84.86405944824219,75
-76.18563842773438,80
-84.84532928466797,85
-86.70313262939453,90
-87.17282104492188,95
-97.79225158691406,100
-95.58649444580078,105
-82.07157897949219,110
-90.58721160888672,115
-83.85350036621094,120
-93.43913269042969,125
-83.80548095703125,130
-93.5696029663086,135
-81.16543579101562,140
-81.96282196044922,145
