Iteration,Average Returns
0,6.0
5,158.0
10,188.0
15,97.0
20,242.0
25,337.0
30,450.0
35,394.0
40,500.0
45,500.0
50,500.0
55,180.0
60,347.0
65,500.0
70,500.0
75,500.0
80,500.0
85,500.0
90,500.0
95,432.0
100,308.0
105,500.0
110,463.0
115,500.0
120,500.0
125,74.0
130,500.0
135,500.0
140,256.0
145,500.0
