Iteration,Average Returns
0,0.0
1,0.0
2,0.0
3,0.15
4,0.1
5,0.05
6,0.1
7,0.15
8,0.15
9,0.1
10,0.15
11,0.15
12,0.3
13,0.1
14,0.2
15,0.15
16,0.3
17,0.1
18,0.2
19,0.25
20,0.5
21,0.25
22,0.6
23,0.55
24,0.45
25,0.8
26,0.7
27,0.8
28,0.75
29,0.75
30,0.55
31,0.85
32,0.8
33,1.0
34,0.9
35,1.0
36,1.0
37,1.0
38,1.0
39,0.95
40,1.0
41,1.0
42,1.0
43,1.0
44,0.95
45,1.0
46,1.0
47,1.0
48,1.0
49,1.0
