Iteration,Average Returns
0,-1219.824462890625
5,-437.4561462402344
10,-196.6201934814453
15,-167.09268188476562
20,-162.2787628173828
25,-115.081787109375
30,-167.8736114501953
35,-112.93026733398438
40,-149.92520141601562
45,-146.40316772460938
50,-191.5474395751953
55,-143.83570861816406
60,-161.8765106201172
65,-203.2858428955078
70,-157.66177368164062
75,-154.583251953125
80,-183.32186889648438
85,-116.89470672607422
90,-176.73959350585938
95,-149.43406677246094
100,-137.09312438964844
105,-159.0493927001953
110,-193.67401123046875
115,-172.03758239746094
120,-175.40054321289062
125,-168.68409729003906
130,-158.44241333007812
135,-180.26083374023438
140,-149.0366668701172
145,-143.17013549804688
