Average Returns,Iteration
-1083.2348886406037,0
-1153.0488780570458,10
-70.98527656433316,20
-65.90328241139909,30
-70.29247617063037,40
-72.24806229184814,50
-72.50345040510429,60
-73.62136555146496,70
-77.37511678371615,80
